,Amplitude(mV),Time(s)
0,-0.011334815,0.001
1,-0.011305941,0.002
2,-0.010180076,0.003
3,-0.008864535,0.004
4,-0.009031561,0.005
5,-0.009002686,0.006
6,-0.009017124,0.007
7,-0.008878974,0.008
8,-0.009046,0.009
9,-0.011044082,0.01
10,-0.011553364,0.011
11,-0.011320381,0.012
12,-0.011458531,0.013
13,-0.013332902,0.014
14,-0.013885498,0.015
15,-0.013994768,0.016
16,-0.01362364,0.017
17,-0.013885498,0.018
18,-0.013885498,0.019
19,-0.014038086,0.02
20,-0.012745183,0.021
21,-0.011429652,0.022
22,-0.011167797,0.023
23,-0.010194508,0.024
24,-0.009031567,0.025
25,-0.009155273,0.026
26,-0.009140833,0.027
27,-0.009278979,0.028
28,-0.00798607,0.029
29,-0.007701601,0.03
30,-0.008835656,0.031
31,-0.009002686,0.032
32,-0.009140832,0.033
33,-0.008835656,0.034
34,-0.009169715,0.035
35,-0.009126389,0.036
36,-0.009126389,0.037
37,-0.008973801,0.038
38,-0.009155273,0.039
39,-0.009278976,0.04
40,-0.009140831,0.041
41,-0.009002686,0.042
42,-0.009002686,0.043
43,-0.008850098,0.044
44,-0.009017129,0.045
45,-0.008711953,0.046
46,-0.008988242,0.047
47,-0.009293417,0.048
48,-0.009140829,0.049
49,-0.009126385,0.05
50,-0.009155273,0.051
51,-0.009002686,0.052
52,-0.008893431,0.053
53,-0.009126384,0.054
54,-0.008878987,0.055
55,-0.009002686,0.056
56,-0.009140828,0.057
57,-0.009155273,0.058
58,-0.008835652,0.059
59,-0.00898824,0.06
60,-0.007905679,0.061
61,-0.006837563,0.062
62,-0.006394245,0.063
63,-0.00627055,0.064
64,-0.006699421,0.065
65,-0.006503494,0.066
66,-0.004148766,0.067
67,-0.003676556,0.068
68,-0.004119873,0.069
69,-0.004090979,0.07
70,-0.004148767,0.071
71,-0.004258014,0.072
72,-0.004105426,0.073
73,-0.004134321,0.074
74,-0.005536507,0.075
75,-0.006575727,0.076
76,-0.006437587,0.077
77,-0.006852007,0.078
78,-0.006546831,0.079
79,-0.00668497,0.08
80,-0.006823109,0.081
81,-0.007491255,0.082
82,-0.006699418,0.083
83,-0.006408691,0.084
84,-0.006837557,0.085
85,-0.006394242,0.086
86,-0.006423141,0.087
87,-0.006713867,0.088
88,-0.006590179,0.089
89,-0.006394242,0.09
90,-0.004381699,0.091
91,-0.004119873,0.092
92,-0.003981735,0.093
93,-0.004272461,0.094
94,-0.00424356,0.095
95,-0.003981736,0.096
96,-0.004119873,0.097
97,-0.004090971,0.098
98,-0.003705463,0.099
99,-0.004134324,0.1
100,-0.004105422,0.101
101,-0.004119873,0.102
102,-0.003981737,0.103
103,-0.004243557,0.104
104,-0.004214653,0.105
105,-0.004119873,0.106
106,-0.003981737,0.107
107,-0.004119873,0.108
108,-0.004119873,0.109
109,-0.004243555,0.11
110,-0.004272461,0.111
111,-0.003843603,0.112
112,-0.004258008,0.113
113,-0.004119873,0.114
114,-0.004134327,0.115
115,-0.004090966,0.116
116,-0.004119873,0.117
117,-0.004119873,0.118
118,-0.004134327,0.119
119,-0.004105419,0.12
120,-0.002107322,0.121
121,-0.001831055,0.122
122,-0.001554788,0.123
123,-0.001678467,0.124
124,-0.002971444,0.125
125,-0.003829152,0.126
126,-0.004243551,0.127
127,-0.004381683,0.128
128,-0.004119873,0.129
129,-0.004134329,0.13
130,-0.004090962,0.131
131,-0.003981741,0.132
132,-0.003037302,0.133
133,-0.001678467,0.134
134,-0.001940274,0.135
135,-0.001387747,0.136
136,-0.001649554,0.137
137,-0.001692924,0.138
138,-0.001831055,0.139
139,-0.001525879,0.14
140,-0.001678467,0.141
141,-0.001787683,0.142
142,-0.001707382,0.143
143,-0.00385807,0.144
144,-0.004119873,0.145
145,-0.004396133,0.146
146,-0.005093233,0.147
147,-0.006575738,0.148
148,-0.006590196,0.149
149,-0.008516005,0.15
150,-0.009111898,0.151
151,-0.008726427,0.152
152,-0.008740887,0.153
153,-0.009002686,0.154
154,-0.009017145,0.155
