Time(s),Amplitude(mV)
0.001,-0.011334815
0.002,-0.011305941
0.003,-0.010180076
0.004,-0.008864535
0.005,-0.009031561
0.006,-0.009002686
0.007,-0.009017124
0.008,-0.008878974
0.009,-0.009046
0.01,-0.011044082
0.011,-0.011553364
0.012,-0.011320381
0.013,-0.011458531
0.014,-0.013332902
0.015,-0.013885498
0.016,-0.013994768
0.017,-0.01362364
0.018,-0.013885498
0.019,-0.013885498
0.02,-0.014038086
0.021,-0.012745183
0.022,-0.011429652
0.023,-0.011167797
0.024,-0.010194508
0.025,-0.009031567
0.026,-0.009155273
0.027,-0.009140833
0.028,-0.009278979
0.029,-0.00798607
0.03,-0.007701601
0.031,-0.008835656
0.032,-0.009002686
0.033,-0.009140832
0.034,-0.008835656
0.035,-0.009169715
0.036,-0.009126389
0.037,-0.009126389
0.038,-0.008973801
0.039,-0.009155273
0.04,-0.009278976
0.041,-0.009140831
0.042,-0.009002686
0.043,-0.009002686
0.044,-0.008850098
0.045,-0.009017129
0.046,-0.008711953
0.047,-0.008988242
0.048,-0.009293417
0.049,-0.009140829
0.05,-0.009126385
0.051,-0.009155273
0.052,-0.009002686
0.053,-0.008893431
0.054,-0.009126384
0.055,-0.008878987
0.056,-0.009002686
0.057,-0.009140828
0.058,-0.009155273
0.059,-0.008835652
0.06,-0.00898824
0.061,-0.007905679
0.062,-0.006837563
0.063,-0.006394245
0.064,-0.00627055
0.065,-0.006699421
0.066,-0.006503494
0.067,-0.004148766
0.068,-0.003676556
0.069,-0.004119873
0.07,-0.004090979
0.071,-0.004148767
0.072,-0.004258014
0.073,-0.004105426
0.074,-0.004134321
0.075,-0.005536507
0.076,-0.006575727
0.077,-0.006437587
0.078,-0.006852007
0.079,-0.006546831
0.08,-0.00668497
0.081,-0.006823109
0.082,-0.007491255
0.083,-0.006699418
0.084,-0.006408691
0.085,-0.006837557
0.086,-0.006394242
0.087,-0.006423141
0.088,-0.006713867
0.089,-0.006590179
0.09,-0.006394242
0.091,-0.004381699
0.092,-0.004119873
0.093,-0.003981735
0.094,-0.004272461
0.095,-0.00424356
0.096,-0.003981736
0.097,-0.004119873
0.098,-0.004090971
0.099,-0.003705463
0.1,-0.004134324
0.101,-0.004105422
0.102,-0.004119873
0.103,-0.003981737
0.104,-0.004243557
0.105,-0.004214653
0.106,-0.004119873
0.107,-0.003981737
0.108,-0.004119873
0.109,-0.004119873
0.11,-0.004243555
0.111,-0.004272461
0.112,-0.003843603
0.113,-0.004258008
0.114,-0.004119873
0.115,-0.004134327
0.116,-0.004090966
0.117,-0.004119873
0.118,-0.004119873
0.119,-0.004134327
0.12,-0.004105419
0.121,-0.002107322
0.122,-0.001831055
0.123,-0.001554788
0.124,-0.001678467
0.125,-0.002971444
0.126,-0.003829152
0.127,-0.004243551
0.128,-0.004381683
0.129,-0.004119873
0.13,-0.004134329
0.131,-0.004090962
0.132,-0.003981741
0.133,-0.003037302
0.134,-0.001678467
0.135,-0.001940274
0.136,-0.001387747
0.137,-0.001649554
0.138,-0.001692924
0.139,-0.001831055
0.14,-0.001525879
0.141,-0.001678467
0.142,-0.001787683
0.143,-0.001707382
0.144,-0.00385807
0.145,-0.004119873
0.146,-0.004396133
0.147,-0.005093233
0.148,-0.006575738
0.149,-0.006590196
0.15,-0.008516005
0.151,-0.009111898
0.152,-0.008726427
0.153,-0.008740887
0.154,-0.009002686
0.155,-0.009017145
0.156,-0.008014861
0.157,-0.006423151
0.158,-0.006270563
0.159,-0.006575739
0.16,-0.006575739
0.161,-0.006699407
0.162,-0.007825363
0.163,-0.009155273
0.164,-0.008864558
0.165,-0.010404898
0.166,-0.011334886
0.167,-0.011705885
0.168,-0.012664795
0.169,-0.011582218
0.17,-0.011167839
0.171,-0.011320427
0.172,-0.010303668
0.173,-0.0089593
0.174,-0.006532355
0.175,-0.004352738
0.176,-0.001678467
0.177,0.001474528
0.178,0.004526286
0.179,0.009242049
0.18,0.011683456
0.181,0.015178516
0.182,0.017758048
0.183,0.020003477
0.184,0.021420158
0.185,0.022735596
0.186,0.022750059
0.187,0.024181206
0.188,0.025038878
0.189,0.025358518
0.19,0.02532959
0.191,0.025191466
0.192,0.025286196
0.193,0.022917113
0.194,0.022721131
0.195,0.022750061
0.196,0.023011841
0.197,0.022888184
0.198,0.022968445
0.199,0.020737488
0.2,0.020432312
0.201,0.019030089
0.202,0.018143493
0.203,0.017003047
0.204,0.015396911
0.205,0.013108092
0.206,0.012941038
0.207,0.010819274
0.208,0.010499631
0.209,0.008530455
0.21,0.008072691
0.211,0.006212702
0.212,0.004396114
0.213,0.003466119
0.214,0.002063892
0.215,0.00103918
0.216,-0.000224928
0.217,-0.001525879
0.218,-0.001554815
0.219,-0.003814697
0.22,-0.004177747
0.221,-0.006117984
0.222,-0.007425501
0.223,-0.008879036
0.224,-0.010877148
0.225,-0.012460904
0.226,-0.01362373
0.227,-0.016159847
0.228,-0.016326904
0.229,-0.016217726
0.23,-0.016065138
0.231,-0.016326904
0.232,-0.016465022
0.233,-0.016479492
0.234,-0.016341375
0.235,-0.016312434
0.236,-0.015171964
0.237,-0.013623735
0.238,-0.01414726
0.239,-0.013761853
0.24,-0.013871027
0.241,-0.013965728
0.242,-0.011320447
0.243,-0.01142962
0.244,-0.010456205
0.245,-0.008988213
0.246,-0.008973741
0.247,-0.006699395
0.248,-0.00667045
0.249,-0.006408691
0.25,-0.006590225
0.251,-0.006408691
0.252,-0.006713867
0.253,-0.006546806
0.254,-0.006713867
0.255,-0.006851982
0.256,-0.006423165
0.257,-0.006684919
0.258,-0.006684919
0.259,-0.006408691
0.26,-0.006561279
0.261,-0.006684918
0.262,-0.00653233
0.263,-0.006546805
0.264,-0.006699392
0.265,-0.006699392
0.266,-0.006699392
0.267,-0.006408691
0.268,-0.006437642
0.269,-0.006561279
0.27,-0.006561279
0.271,-0.006684915
0.272,-0.00525372
0.273,-0.003938333
0.274,-0.004396096
0.275,-0.004134349
0.276,-0.004119873
0.277,-0.004076443
0.278,-0.001802101
0.279,-0.00166399
0.28,-0.001416722
0.281,-0.001525879
0.282,0.000624829
0.283,0.001053638
0.284,0.000762939
0.285,0.000915527
0.286,0.001053637
0.287,0.000610352
0.288,0.00062483
0.289,0.001039158
0.29,0.000748461
0.291,-0.000406527
0.292,-0.001569316
0.293,-0.003705546
0.294,-0.007425573
0.295,-0.012046648
0.296,-0.017220159
0.297,-0.023548661
0.298,-0.032732896
0.299,-0.042556443
0.3,-0.055846073
0.301,-0.070581394
0.302,-0.088019858
0.303,-0.105720058
0.304,-0.123834579
0.305,-0.140771839
0.306,-0.156096335
0.307,-0.168441476
0.308,-0.177466422
0.309,-0.182233385
0.31,-0.182495117
0.311,-0.181449255
0.312,-0.174830048
0.313,-0.164795978
0.314,-0.150547373
0.315,-0.132607693
0.316,-0.112335747
0.317,-0.086766668
0.318,-0.057731515
0.319,-0.02486718
0.32,0.009246824
0.321,0.046688798
0.322,0.089333245
0.323,0.134448065
0.324,0.182738267
0.325,0.231747958
0.326,0.282393683
0.327,0.298505366
0.328,0.310665912
0.329,0.356383344
0.33,0.405487687
0.331,0.453160802
0.332,0.497658537
0.333,0.541480241
0.334,0.585440049
0.335,0.628106728
0.336,0.67076567
0.337,0.713555966
0.338,0.755169014
0.339,0.794689286
0.34,0.834028
0.341,0.872894463
0.342,0.908651224
0.343,0.939801373
0.344,0.96420868
0.345,0.978647548
0.346,0.978357817
0.347,0.963499796
0.348,0.935053727
0.349,0.896798568
0.35,0.84825435
0.351,0.793759201
0.352,0.732164855
0.353,0.66867379
0.354,0.603337183
0.355,0.538988542
0.356,0.475417329
0.357,0.415355639
0.358,0.356790852
0.359,0.301459388
0.36,0.247377606
0.361,0.195788399
0.362,0.146880119
0.363,0.100580323
0.364,0.056220704
0.365,0.015704762
0.366,-0.023147201
0.367,-0.059085504
0.368,-0.092415321
0.369,-0.122112007
0.37,-0.147812427
0.371,-0.171071439
0.372,-0.190864398
0.373,-0.207409539
0.374,-0.220779315
0.375,-0.233233561
0.376,-0.242025698
0.377,-0.249430051
0.378,-0.252176634
0.379,-0.253572092
0.38,-0.253710188
0.381,-0.251297764
0.382,-0.247592179
0.383,-0.244816613
0.384,-0.240529659
0.385,-0.23677293
0.386,-0.232900262
0.387,-0.229710408
0.388,-0.226854715
0.389,-0.223345194
0.39,-0.220736706
0.391,-0.218266313
0.392,-0.216950994
0.393,-0.214618695
0.394,-0.212082674
0.395,-0.210789503
0.396,-0.209641268
0.397,-0.208515177
0.398,-0.207061768
0.399,-0.206088263
0.4,-0.204467773
0.401,-0.203189092
0.402,-0.202607729
0.403,-0.201067355
0.404,-0.199861147
0.405,-0.197601318
0.406,-0.197405245
0.407,-0.195007324
0.408,-0.194702148
0.409,-0.19270401
0.41,-0.19125824
0.411,-0.190400696
0.412,-0.18878784
0.413,-0.187777708
0.414,-0.185503386
0.415,-0.183824919
0.416,-0.181521603
0.417,-0.180191802
0.418,-0.178026578
0.419,-0.17578125
0.42,-0.174030297
0.421,-0.172853085
0.422,-0.170578764
0.423,-0.169314568
0.424,-0.168079366
0.425,-0.165848539
0.426,-0.164446252
0.427,-0.162934871
0.428,-0.160551458
0.429,-0.159439847
0.43,-0.158248141
0.431,-0.155944824
0.432,-0.155777737
0.433,-0.153794095
0.434,-0.152086629
0.435,-0.149659722
0.436,-0.148577107
0.437,-0.146288288
0.438,-0.143679794
0.439,-0.141267387
0.44,-0.138949568
0.441,-0.136231986
0.442,-0.133790579
0.443,-0.131349173
0.444,-0.128922267
0.445,-0.126618948
0.446,-0.125187652
0.447,-0.12303692
0.448,-0.121474462
0.449,-0.12033384
0.45,-0.118865967
0.451,-0.119127638
0.452,-0.116729736
0.453,-0.11668623
0.454,-0.114440918
0.455,-0.113692481
0.456,-0.11226118
0.457,-0.110568211
0.458,-0.109681688
0.459,-0.107131202
0.46,-0.105547311
0.461,-0.104370117
0.462,-0.103229486
0.463,-0.102052292
0.464,-0.100788078
0.465,-0.0996689
0.466,-0.098332166
0.467,-0.097060402
0.468,-0.096086859
0.469,-0.094728072
0.47,-0.092315674
0.471,-0.092119572
0.472,-0.089845258
0.473,-0.089401999
0.474,-0.087418356
0.475,-0.087403851
0.476,-0.086430302
0.477,-0.084838867
0.478,-0.085086021
0.479,-0.082688131
0.48,-0.081285828
0.481,-0.080137655
0.482,-0.078786396
0.483,-0.077100404
0.484,-0.076221413
0.485,-0.075087749
0.486,-0.074906148
0.487,-0.072893491
0.488,-0.07275541
0.489,-0.071505692
0.49,-0.07019043
0.491,-0.068911697
0.492,-0.067690993
0.493,-0.065612793
0.494,-0.064290535
0.495,-0.062851703
0.496,-0.061849127
0.497,-0.060148645
0.498,-0.059298656
0.499,-0.058150495
0.5,-0.057692731
0.501,-0.055832659
0.502,-0.055483956
0.503,-0.053100586
0.504,-0.052933489
0.505,-0.051988942
0.506,-0.050521101
0.507,-0.050521102
0.508,-0.049380437
0.509,-0.048188753
0.51,-0.048203263
0.511,-0.047048086
0.512,-0.04563829
0.513,-0.04600899
0.514,-0.043473038
0.515,-0.043291428
0.516,-0.04119873
0.517,-0.039752884
0.518,-0.038590225
0.519,-0.038437637
0.52,-0.037325987
0.521,-0.035843643
0.522,-0.035662031
0.523,-0.033845488
0.524,-0.033678387
0.525,-0.031266005
0.526,-0.030960829
0.527,-0.028853624
0.528,-0.028243273
0.529,-0.028672011
0.53,-0.027378742
0.531,-0.026121556
0.532,-0.026201577
0.533,-0.025968968
0.534,-0.026078016
0.535,-0.026259631
0.536,-0.026063502
0.537,-0.026107043
0.538,-0.025939941
0.539,-0.02437052
0.54,-0.023665638
0.541,-0.023498535
0.542,-0.02134779
0.543,-0.02131876
0.544,-0.018935413
0.545,-0.01850668
0.546,-0.017656649
0.547,-0.016188832
0.548,-0.016450461
0.549,-0.014038086
0.55,-0.014038086
0.551,-0.014052602
0.552,-0.01271577
0.553,-0.011429575
0.554,-0.011582163
0.555,-0.010288877
0.556,-0.009017202
0.557,-0.00916979
0.558,-0.007861985
0.559,-0.006684833
0.56,-0.006452243
0.561,-0.006532244
0.562,-0.005420576
0.563,-0.004090838
0.564,-0.004119873
0.565,-0.002855616
0.566,-0.001663949
0.567,-0.001554916
0.568,-0.000247102
0.569,0.000791977
0.57,0.002027199
0.571,0.003247902
0.572,0.005369614
0.573,0.007062601
0.574,0.008087158
0.575,0.009198832
0.576,0.010710192
0.577,0.012802863
0.578,0.014096166
0.579,0.015273309
0.58,0.01794729
0.581,0.018310547
0.582,0.020475818
0.583,0.020337751
0.584,0.022583008
0.585,0.023178838
0.586,0.025024414
0.587,0.025496699
0.588,0.027327754
0.589,0.027800039
0.59,0.029783682
0.591,0.031186017
0.592,0.032697374
0.593,0.034681017
0.594,0.036097875
0.595,0.037551143
0.596,0.038662826
0.597,0.039549309
